,a_connector_pad_Q1,a_connector_pad_Q2,a_connector_pad_Q3,a_connector_pad_Q4,c_connector_pad_Q1,c_connector_pad_Q2,c_connector_pad_Q3,c_connector_pad_Q4,cl_metal_Q1,cl_metal_Q2,cl_metal_Q3,cl_metal_Q4,launch_pad_CL1,launch_pad_CL2,launch_pad_CL3,launch_pad_CL4,launch_pad_R1,launch_pad_R2,launch_pad_R3,launch_pad_R4,pad_bot_Q1,pad_bot_Q2,pad_bot_Q3,pad_bot_Q4,pad_top_Q1,pad_top_Q2,pad_top_Q3,pad_top_Q4
launch_pad_R1,-0.00048,-0.00049,-0.0001,-8e-05,-4.72237,-9e-05,-0.00021,-5e-05,-0.00269,-7e-05,-0.00335,-3e-05,-0.00014,-1e-05,-0.00174,-2e-05,55.64693,-1e-05,-5e-05,-2e-05,-0.0015,-7e-05,-0.00018,-4e-05,-0.00145,-6e-05,-0.00012,-4e-05
launch_pad_R2,-9e-05,-0.00059,-0.00014,-0.00141,-0.00014,-4.71388,-6e-05,-0.00028,-0.00012,-0.00391,-4e-05,-7e-05,-8e-05,-0.0001,-1e-05,-2e-05,-1e-05,55.66885,-2e-05,-5e-05,-0.00028,-0.00145,-6e-05,-0.00017,-0.00021,-0.00113,-0.00043,-0.00016
launch_pad_R3,-0.00147,-0.00022,-0.00051,-0.00012,-0.00026,-9e-05,-4.71705,-0.00012,-5e-05,-4e-05,-0.00395,-0.00013,-2e-05,-1e-05,-0.0001,-7e-05,-5e-05,-2e-05,55.63168,-3e-05,-0.00028,-9e-05,-0.00137,-8e-05,-0.00027,-0.00011,-0.00119,-0.0001
launch_pad_R4,-7e-05,-0.00013,-0.00049,-0.00048,-6e-05,-0.00021,-0.0001,-4.7145,-4e-05,-0.00349,-4e-05,-0.00261,-2e-05,-0.00171,-2e-05,-0.00011,-2e-05,-5e-05,-3e-05,55.64459,-5e-05,-0.00028,-4e-05,-0.00093,-6e-05,-0.00011,-0.00012,-0.00098
pad_bot_Q1,-13.27388,-1.06163,-0.00272,-0.00037,-13.27749,-0.00118,-0.00314,-0.00031,-0.30894,-0.00031,-0.01996,-0.00031,-0.00031,-7e-05,-0.00158,-5e-05,-0.0015,-0.00028,-0.00028,-5e-05,129.22274,-0.00081,-0.01094,-0.00051,-38.38508,-0.00156,-0.00779,-0.00087
pad_bot_Q2,-0.00642,-13.59402,-0.01217,-1.21967,0.0,-13.62263,-0.00118,-0.00239,-0.00112,-0.27543,-0.00083,-0.0004,-0.00011,-0.00025,-7e-05,-8e-05,-7e-05,-0.00145,-9e-05,-0.00028,-0.00081,119.3203,-0.00235,-0.00389,-0.00061,-35.13332,-0.00292,-0.00694
pad_bot_Q3,-1.2781,-0.01089,-13.80373,-0.00194,-0.0015,-0.00132,-13.84715,-0.00047,-0.00062,-0.00068,-0.24976,-0.00087,-3e-05,-0.00011,0.0,-0.00018,-0.00018,-6e-05,-0.00137,-4e-05,-0.01094,-0.00235,111.90739,-0.00034,-0.0085,-0.003,-32.39215,0.0
pad_bot_Q4,-0.00125,-0.00145,-1.18909,-13.90284,-0.0003,-0.00226,-0.00071,-13.89804,-0.0002,-0.0167,-0.00025,-0.24735,-4e-05,-0.00087,-5e-05,-0.00016,-4e-05,-0.00017,-8e-05,-0.00093,-0.00051,-0.00389,-0.00034,108.23875,-0.0002,-0.01121,-0.00133,-30.99368
pad_top_Q1,-1.01828,-13.51356,-0.00233,-0.00046,-1.03936,-0.00064,-0.0033,-0.00028,-0.64173,-0.00042,-0.01454,-0.00028,-0.00028,-7e-05,-0.00118,-6e-05,-0.00145,-0.00021,-0.00027,-6e-05,-38.38508,-0.00061,-0.0085,-0.0002,122.50113,-0.00213,-0.00999,-0.0006
pad_top_Q2,-0.00279,-1.07627,-0.01608,-14.14871,-0.00272,-1.0751,-0.00219,-0.0029,0.0,-0.46706,-0.00067,-0.00083,-0.00034,-0.00017,-7e-05,-7e-05,-6e-05,-0.00113,-0.00011,-0.00011,-0.00156,-35.13332,-0.003,-0.01121,-0.00213,112.41003,-0.00285,-0.01002
pad_top_Q3,-14.37948,-0.01641,-1.14261,-0.00177,-0.00373,-0.00117,-1.13432,-0.00028,-0.00106,-0.00052,-0.39398,-0.00072,-9e-05,-5e-05,-0.00035,-0.0001,-0.00012,-0.00043,-0.00119,-0.00012,-0.00779,-0.00292,-32.39215,-0.00133,-0.00999,-0.00285,104.89515,-0.00139
pad_top_Q4,-0.00136,-0.00213,-14.16648,-1.17898,-0.00015,-0.00244,-0.00084,-1.20421,-0.00019,-0.0134,-0.00034,-0.40405,-5e-05,-0.00073,-6e-05,-0.00024,-4e-05,-0.00016,-0.0001,-0.00098,-0.00087,-0.00694,0.0,-30.99368,-0.0006,-0.01002,-0.00139,101.23312
